# trenutno outdated!!
#                              ˇ uporabljeni 4-je thread-i
seq_time [s]    |omp_time [s] [4]|omp_speedup     |omp_schedule    |opencl_time [s] |opencl_speedup  |
1.94372         |1.21267         |1.60284         |(static, 10)    |1.30322         |1.49148         |
1.9244          |1.22591         |1.56978         |(static, 10)    |1.30357         |1.47626         |
1.93374         |1.30642         |1.48018         |(static, 50)    |1.35005         |1.43235         |
1.87346         |1.2611          |1.48557         |(static, 50)    |1.30647         |1.43398         |
1.90031         |1.26714         |1.49969         |(static, 100)   |1.34038         |1.41774         |
1.91751         |1.23992         |1.54648         |(static, 100)   |1.30543         |1.46888         |
1.91537         |1.27338         |1.50417         |(static, 200)   |1.3357          |1.43399         |
1.92949         |1.34064         |1.43923         |(static, 200)   |1.32094         |1.4607          |
1.87694         |1.28103         |1.46518         |(dynamic, 10)   |1.3147          |1.42766         |
1.86057         |1.29401         |1.43783         |(dynamic, 10)   |1.29497         |1.43676         |
1.87112         |1.22049         |1.53308         |(dynamic, 50)   |1.29492         |1.44497         |
1.88217         |1.21199         |1.55295         |(dynamic, 50)   |1.31597         |1.43025         |
1.95007         |1.22067         |1.59754         |(dynamic, 100)  |1.30703         |1.49198         |
1.92184         |1.21672         |1.57953         |(dynamic, 100)  |1.29969         |1.47869         |
1.9434          |1.24423         |1.56193         |(dynamic, 200)  |1.33994         |1.45036         |
1.92177         |1.21523         |1.5814          |(dynamic, 200)  |1.29556         |1.48335         |
1.86685         |1.43072         |1.30483         |-               |1.32139         |1.41279         |
1.92363         |1.44605         |1.33026         |-               |1.31933         |1.45803         |
1.98131         |1.55672         |1.27275         |before          |1.30169         |1.52211         |
1.94441         |1.44658         |1.34414         |before          |1.34296         |1.44785         |
